ACT_ID,ACT_NAME,RS_ID,ACTIVE,SEVERITY,MODULE_ID,SUB_MODULE_ID,OWNER,PROCESS_ID,SUB_PROCESS_ID,WORKFLOW_FLAG
ACT0001,Vendor Master Data Maintenance,RS0001,1,Medium ,MM,,andrew.clow@complianterp.com,,,0
ACT0002,Maintain Purchase Order,RS0001,1,Medium ,MM,,andrew.clow@complianterp.com,,,0
ACT0003,Purchase Agreements,RS0001,1,Medium ,MM,,andrew.clow@complianterp.com,,,0
ACT0004,Requisition Release,RS0001,1,Medium ,MM,,andrew.clow@complianterp.com,,,0
ACT0005,Requisition,RS0001,1,Medium ,MM,,andrew.clow@complianterp.com,,,0
ACT0006,Goods Receipts for Purchase Order,RS0001,1,Medium ,MM,,andrew.clow@complianterp.com,,,0
ACT0007,Process Vendor Invoices,RS0001,1,Medium ,FI,,andrew.clow@complianterp.com,,,0
ACT0008,Bank Reconciliation,RS0001,1,Medium ,FI,,andrew.clow@complianterp.com,,,0
ACT0010,Maintainance - Bank Master Data,RS0001,1,Medium ,FI,,andrew.clow@complianterp.com,,,0
ACT0011,SE16,RS0001,1,Medium ,XX,,andrew.clow@complianterp.com,,,0
ACT0013,GR/IR Account Maintenance,RS0001,1,Medium ,FI,,andrew.clow@complianterp.com,,,0
ACT0014,Basis Development,RS0001,1,Medium ,BC,,andrew.clow@complianterp.com,,,0
ACT0015,System Administration,RS0001,1,Medium ,BC,,andrew.clow@complianterp.com,,,0
ACT0016,Basis Utilities,RS0001,1,Medium ,BC,,andrew.clow@complianterp.com,,,0
ACT0019,Credit Management,RS0001,1,Medium ,FI,,andrew.clow@complianterp.com,,,0
ACT0020,Process Credit Memos,RS0001,1,Medium ,FI,,andrew.clow@complianterp.com,,,0
ACT0021,Post Journal Entry,RS0001,1,Medium ,FI,,andrew.clow@complianterp.com,,,0
ACT0022,Posting Period Maintenance,RS0001,1,Medium ,FI,,andrew.clow@complianterp.com,,,0
ACT0024,Customer - Raising Invoices,RS0001,1,Medium ,FI,,andrew.clow@complianterp.com,,,0
ACT0025,Maintenance - Number Ranges,RS0001,1,Medium ,BC,,andrew.clow@complianterp.com,,,0
ACT0026,Basis - Key Activity,RS0001,1,Medium ,BC,,andrew.clow@complianterp.com,,,0
ACT0027,Maintenance - Security Related,RS0001,1,Medium ,BC,,andrew.clow@complianterp.com,,,0
ACT0028,Maintenance - Asset Document,RS0001,1,Medium ,FI,,andrew.clow@complianterp.com,,,0
ACT0029,Maintain Asset Master,RS0001,1,Medium ,FI,,andrew.clow@complianterp.com,,,0
ACT0037,Blocked Invoice - release,RS0001,1,Medium ,FI,,andrew.clow@complianterp.com,,,0
ACT0038,Master Data - Finance,RS0001,1,Medium ,FI,,andrew.clow@complianterp.com,,,0
ACT0039,Maintain GL Master,RS0001,1,Medium ,FI,,andrew.clow@complianterp.com,,,0
ACT9999,TestAct,RS0001,1,Medium ,FI,,andrew.clow@complianterp.com,,,0
