TST_ID,TST_NAME,RS_ID,ACTIVE,DESCRIPTION,OWNER,WORKFLOW_FLAG
TST0001,"Create Vendor Master Data Only",RS0001,1,List of all users who are able to create a vendor. Creation of vendors is a sensitive transaction that should be highly restricted. Follow up test would be to list all users that have this level of access. .,andrew.clow@complianterp.com,0
TST0002,"Purchase Order Approval and Requisition Create",RS0001,1,"A user may be able to both create a requisition and approve a Purchase Order, thereby by passing a SoD control.",andrew.clow@complianterp.com,0
TST0003,"Purchase Order Approval and Goods Receipt",RS0001,1,"A user may be able to both approve a Purchase Order and receipt the goods, thereby by passing a SoD control.",andrew.clow@complianterp.com,0
TST0004,"Invoice Create Only",RS0001,1,List of all users who are able to create an invoice. This should be restricted to approved finance related personnel. Follow up test would be to list all users that have this level of access. ,andrew.clow@complianterp.com,0
TST0005,"Invoice Create and Purchase Order Approval",RS0001,1,List of all users who are able to create an invoice and approval a Purchase Order. This should not be allowed. Follow up test would be to list all users that have this level of access. ,andrew.clow@complianterp.com,0
TST0006,"Invoice Create and Goods Receipt",RS0001,1,List of all users who are able to create an invoice and receipt the goods. This should not be allowed. Follow up test would be to list all users that have this level of access. ,andrew.clow@complianterp.com,0
TST0007,"Bank Reconciliation only",RS0001,1,List of all users who are able to undertake a bank reconciliation. This should be restricted to approved finance related personnel. Follow up test would be to list all users that have this level of access. .,andrew.clow@complianterp.com,0
TST0008,"Bank Reconciliation and Invoice Create",RS0001,1,List of all users who are able to undertake a bank reconciliation AND create an invoice. These should be separated and restricted to approved finance related personnel. Follow up test would be to list all users that have this level of access. ,andrew.clow@complianterp.com,0
TST0009,"Mass Delete SD Transaction Only",RS0001,1,List of all users who are able to undertake a mass delete. This should be restricted to approved personnel (preferable based on controlled basis with access to a restricted unique role and approval required each time that it is activated for a defined minimal period). Follow up test would be to list all users that have this level of access. .,andrew.clow@complianterp.com,0
TST0010,"SE16 Only",RS0001,1,List of all users who have acces to SE16. This should be restricted to approved personnel (preferable based on controlled basis with access to a restricted unique role and approval required each time that it is activated for a defined minimal period). This risks loss of data integrity and waste of resources e.g. high volumen transaction extracts. Also risks loss of security through access to sensity data. Follow up test would be to list all users that have this level of access. .,andrew.clow@complianterp.com,0
TST0011,"Bank Account Master Data Only",RS0001,1,List of all users who are able to crteate a bank account. This should be restricted to approved finance related personnel. Follow up test would be to list all users that have this level of access. .,andrew.clow@complianterp.com,0
TST0012,"Invoice Create and Vendor Master Data (add/delete/change)",RS0001,1,List of all users who are able to create an invoice and create or amend an invoice. This should not be allowed. Follow up test would be to list all users that have this level of access. ,andrew.clow@complianterp.com,0
TST0013,"Payment AP - Mass Document Change",RS0001,1,List of all users who are able to undertake a mass change of AP Documents. This should not be allowed as default. Follow up test would be to list all users that have this level of access. ,andrew.clow@complianterp.com,0
TST0014,"GR/IR Maintenance",RS0001,1,List of all users who are able to undertake maintenancde of GR/IR activity. This should retricted to authorised users. Follow up test would be to list all users that have this level of access. ,andrew.clow@complianterp.com,0
TST0015,"Basis Development and System Administration",RS0001,1,List of all system administrator users with devlopment type activity (Basis Development). This should be retricted. Follow up test would be to list all users that have this level of access. ,andrew.clow@complianterp.com,0
TST0016,"Basis Utilities and System Administration",RS0001,1,List of all system administrator users with devlopment type activity (Basis Utilities). This should be retricted. Follow up test would be to list all users that have this level of access. ,andrew.clow@complianterp.com,0
TST0017,"Receiving Cash and GL Posting Activity",RS0001,1,List of all users who are able to receive cash and post a GL action. This should be retricted. Follow up test would be to list all users that have this level of access. ,andrew.clow@complianterp.com,0
TST0018,"Transact Credit Memos Only",RS0001,1,List of all users who are able to issue a Credit Memo. This should be retricted. Follow up test would be to list all users that have this level of access. ,andrew.clow@complianterp.com,0
TST0019,"Credit Management Only",RS0001,1,List of all users who are able to manage Credit. This should be retricted. Follow up test would be to list all users that have this level of access. ,andrew.clow@complianterp.com,0
TST0020,"Customer - Process Credit Memos Only",RS0001,1,List of all users who are able to process customer credit memos. This should be retricted. Follow up test would be to list all users that have this level of access. ,andrew.clow@complianterp.com,0
TST0021,"Post Journal Entry Only",RS0001,1,List of all users who are able to post journal entries. This should be retricted. Follow up test would be to list all users that have this level of access. ,andrew.clow@complianterp.com,0
TST0022,"Maintenance - Posting Periods Only",RS0001,1,List of all users who are able to maintain posting periods. This should be retricted. Follow up test would be to list all users that have this level of access. ,andrew.clow@complianterp.com,0
TST0023,"Payment run Only",RS0001,1,List of all users who are able to undertake a Payment run. This should be retricted. Follow up test would be to list all users that have this level of access. ,andrew.clow@complianterp.com,0
TST0024,"Customer - Raising Invoices",RS0001,1,List of all users who are able to raise a customer invoice. This should be retricted. Follow up test would be to list all users that have this level of access. ,andrew.clow@complianterp.com,0
TST0025,"Maintenance  - Number Ranges",RS0001,1,List of all users who are able to undertake system maintenance (document number ranges). This should be retricted. Follow up test would be to list all users that have this level of access. ,andrew.clow@complianterp.com,0
TST0026,"Basis - Key Activity",RS0001,1,List of all users who are able to undertake system maintenance (key basis actibvity). This should be retricted. Follow up test would be to list all users that have this level of access. ,andrew.clow@complianterp.com,0
TST0027,"Maintenance - Security Related",RS0001,1,List of all users who are able to undertake system maintenance (security related). This should be retricted. Follow up test would be to list all users that have this level of access. ,andrew.clow@complianterp.com,0
TST0028,"Maintenance - Asset Document",RS0001,1,List of all users who are able to maintain an asset document. This should be retricted. Follow up test would be to list all users that have this level of access. ,andrew.clow@complianterp.com,0
TST0029,"Maintenance - Asset Master",RS0001,1,List of all users who are able to maintain asset master data. This should be retricted. Follow up test would be to list all users that have this level of access. ,andrew.clow@complianterp.com,0
TST0030,"Finance - Key Activity",RS0001,1,List of all users who are able to maintain key finance related activity. This should be retricted. Follow up test would be to list all users that have this level of access. ,andrew.clow@complianterp.com,0
TST0031,"Cash - Receiving Cash, Deposit Prep and Post to GL",RS0001,1,"List all users with responsibilities of receiving cash, deposit preparation and posting activity to the general ledger. Best practices for separating  is for these dutiues to be separated.   ",andrew.clow@complianterp.com,0
TST0032,"Payment - Preparing Payment Runs and Approving Payment Runs",RS0001,1,List all users with responsibilities of preparing and approving payment runs. Best practice is for these duties to be separated.   ,andrew.clow@complianterp.com,0
TST0033,"Reconciliations - Bank Reconciliation and Cash Receipts",RS0001,1,"Within the category of Reconciliations, list all users with responsibilities for Bank Reconciliation and Cash Receipts.These should be segregated",andrew.clow@complianterp.com,0
TST0034,"Reconciliation - Bank Reconciliation and Payment Runs",RS0001,1,"Within the category of Reconciliation, list all users with responsibilities for Bank Reconciliation and Payment Runs.These should be segregated",andrew.clow@complianterp.com,0
TST0035,"Pricing - Set and Amend Pricing",RS0001,1,"Within the category of Pricing, list all users with responsibilities for Set and Amend Pricing.This should be restricted.",andrew.clow@complianterp.com,0
TST0036,"Discounts - Set and Amend Discounts.",RS0001,1,"Within the category of Discounts, list all users with responsibilities for Set and Amend Discounts. This should be restricted.",andrew.clow@complianterp.com,0
