MANDT,AGR_NAME,COUNTER,PROFILE,VARIANT,GENERATED,PSTATE
210,TST_ROLE,1,TST_PROFN,,X,A
210,TST_ROLE2,1,TST_PROFN2,,X,A
210,TST_ROLE3,1,TST_PROFN3,,X,A
210,/ISDFPS/LM_MASTER_EQUI,1,T_P1228099,,X,A
210,/ISDFPS/LM_MASTER_EQUI_CHANGE,1,T_P1228101,,X,A
210,/ISDFPS/LM_MASTER_EQUI_READ,1,T_P1228100,,X,A
210,/ISDFPS/ME_ADM,1,T_P1220035,,X,A
210,/ISDFPS/ME_ADM_SCND,1,T_P1228125,,X,A
210,/ISDFPS/ME_HR,1,T_P1504433,,X,A
210,/ISDFPS/ME_MM,1,T_P1504432,,X,A
210,/ISDFPS/ME_PM,1,T_P1504431,,X,A
210,/ISDFPS/ME_PM_SCND,1,T_P1228124,,X,A
210,/ISDFPS/ME_REP,1,T_P1220041,,X,A
210,/ISDFPS/WM-ANZEIGER,1,T_P1220032,,X,A
210,/ISDFPS/WM-MANAGER,1,T_P1220031,,X,A
210,/SAPTRX/SAP_AS_ADMIN,1,T_AS_ADM__,,X,
210,/VIRSA/AE_DEFAULT_ROLE,1,T-AP560048,,X,A
210,/VIRSA/CC_DEFAULT_ROLE,1,T-AP560049,,X,A
210,/VIRSA/FF_DEFAULT_ROLE,1,T-AP560029,,X,A
210,/VIRSA/RE_DEFAULT_ROLE,1,T-AP560036,,X,A
210,/VIRSA/VFAT_ADMINISTRATOR,1,T-AP560028,,X,A
210,/VIRSA/VFAT_ROLE_ADMINISTRATOR,1,T-AP560027,,X,A
210,/VIRSA/VFAT_ROLE_CONTROLLER,1,T-AP560050,,X,A
210,/VIRSA/VFAT_ROLE_OWNER,1,T-AP560051,,X,A
210,/VIRSA/Z_CC_ADMINISTRATOR,1,T-AP560052,,X,A
210,/VIRSA/Z_CC_BUSINESS_OWNER,1,T-AP560053,,X,A
210,/VIRSA/Z_CC_REPORTING,1,T-AP560054,,X,A
210,/VIRSA/Z_CC_SECURITY_ADMIN,1,T-AP560055,,X,A
210,/VIRSA/Z_CC_USER_ADMIN,1,T-AP560056,,X,A
