MANDT,BNAME,PROFILE
001,ACLOW,SAP_ALL
001,ACLOW,S_A.SYSTEM
001,ACLOW,T-NL310001
001,ACTEST,T-NL310004
001,ACTEST,T-NL310005
001,ACTEST,T_BE112107
001,BWDEVELOPER,SAP_ALL
001,BWDEVELOPER,S_A.SYSTEM
001,DDIC,SAP_ALL
001,DDIC,S_A.SYSTEM
001,DEVELOPER,SAP_ALL
001,DEVELOPER,S_A.SYSTEM
001,DEVELOPER,T-NL310001
001,NPRINCE,SAP_ALL
001,NPRINCE,S_A.SYSTEM
001,NPRINCE,T-NL310001
001,SAP*,SAP_ALL
210,ADAMEKNI,T-AD811585
210,ADAMEKNI,T-AD811598
210,ADAMEKNI,T-AD8115981
210,ADAMEKNI,T-AD8115982
210,ADAMEKNI,T-AD813005
210,MUSGRANI,T-AD811597
210,MUSGRANI,T-AD8115971
210,MUSGRANI,T-AD8115972
210,MUSGRANI,T-AD811788
210,MUSGRANI,T-AD811799
210,MUSGRANI,T-AD812991
210,ABBOTTAN,T-AD811596
210,ABBOTTAN,T-AD8115961
210,ABBOTTAN,T-AD8115962
210,ABBOTTJA,T-AD811581
210,ABBOTTJA,T-AD811591
210,ABBOTTJA,T-AD8115911
210,ABBOTTJA,T-AD8115912
210,ABBOTTJA,T-AD811768
210,ABBOTTJA,T-AD813000
210,ABUBAKRO,T-AD811581
210,ABUBAKRO,T-AD811582
210,ABUBAKRO,T-AD811596
210,ABUBAKRO,T-AD8115961
210,ABUBAKRO,T-AD8115962
210,ABUBAKRO,T-AD811597
210,ABUBAKRO,T-AD8115971
210,ABUBAKRO,T-AD8115972
210,ABUBAKRO,T-AD811602
210,ABUBAKRO,T-AD811617
210,ABUBAKRO,T-AD811622
210,ABUBAKRO,T-AD811638
210,ABUBAKRO,T-AD811647
210,ABUBAKRO,T-AD811656
210,ABUBAKRO,T-AD811667
210,ABUBAKRO,T-AD811678
210,ABUBAKRO,T-AD811679
210,ABUBAKRO,T-AD811682
210,ABUBAKRO,T-AD811684
210,ABUBAKRO,T-AD811690
210,ABUBAKRO,T-AD811694
210,ABUBAKRO,T-AD811696
210,ABUBAKRO,T-AD811702
210,ABUBAKRO,T-AD811703
210,ABUBAKRO,T-AD811704
210,ABUBAKRO,T-AD811710
210,ABUBAKRO,T-AD811712
210,ABUBAKRO,T-AD811721
210,ABUBAKRO,T-AD811730
210,ABUBAKRO,T-AD811736
210,ABUBAKRO,T-AD812911
210,ABUBAKRO,T-AD812976
