MANDT,PROFN,AKTPS,SUBPROF
210,A_ANZEIGE,A,A_ANZ
210,A_ANZEIGE,A,A_IMPR_ALL
210,A_ANZEIGE,A,F_BUCH_ALL
210,A_ANZEIGE,A,X_COBL_ALL
210,C_A.AV,A,C_AENR_ALL
210,C_A.AV,A,C_ARPL_ALL
210,C_A.AV,A,C_CAP_ALL
210,C_A.AV,A,C_FAUF_ANZ
210,C_A.AV,A,C_FHMI_ALL
210,C_A.AV,A,C_MSTL_ANZ
210,C_A.AV,A,C_ROUT_ALL
210,C_A.AV,A,M_MATE_ANZ
210,C_A.AV,A,M_MATE_AV
210,C_A.DISPO,A,C_AENR_ANZ
210,C_A.DISPO,A,C_ARPL_ANZ
210,C_A.DISPO,A,C_FAUF_ANZ
210,C_A.DISPO,A,C_FHMI_ANZ
210,C_A.DISPO,A,C_PB_ALL
210,C_A.DISPO,A,C_PB_REO
210,C_A.DISPO,A,C_ROUT_ANZ
210,C_A.DISPO,A,C_SOP_ALL
210,C_A.DISPO,A,C_STUE_ANZ
210,C_A.DISPO,A,M_BEFU_ANZ
210,C_A.DISPO,A,M_EBEL_ANZ
210,C_A.DISPO,A,M_MATE_ANZ
210,C_A.DISPO,A,M_MATE_DISP
210,C_A.DISPO,A,M_MRES_ALL
210,C_A.DISPO,A,M_MTDI_PLA
210,C_A.DISPO,A,M_MTDI_REP
210,C_A.DISPO,A,M_PLAF_ALL
210,C_A.FAUF,A,C_ARPL_ANZ
210,C_A.FAUF,A,C_FAUF_ALL
210,C_A.FAUF,A,C_KAPA_ALL
210,C_A.FAUF,A,C_KAPA_CUST
210,C_A.FAUF,A,C_PBED_ANZ
210,C_A.FAUF,A,C_ROUT_ANZ
210,C_A.FAUF,A,C_SAFK_ALL
210,C_A.FAUF,A,C_SOP_ANZ
210,C_A.FAUF,A,C_STUE_ANZ
210,C_A.FAUF,A,M_BEFU_ANZ
210,C_A.FAUF,A,M_EBEL_ANZ
210,C_A.FAUF,A,M_MATE_ANZ
210,C_A.FAUF,A,M_MTDI_REP
210,C_A.FAUF,A,M_PLAF_ALL
210,C_A.KONSTRUK,A,C_AENR_ALL
210,C_A.KONSTRUK,A,C_MSTL_ALL
210,C_A.KONSTRUK,A,C_ROUT_ANZ
210,C_A.KONSTRUK,A,M_MATE_ANZ
210,C_A.KONSTRUK,A,M_MATE_KON
210,C_EHS_ALL,A,C_EHSH_ALL
210,C_EHS_ALL,A,C_EHS_DG_ALL
210,C_EHS_ALL,A,C_EHS_IH_ALL
210,C_EHS_ALL,A,C_EHS_PS_ALL
210,C_EHS_ALL,A,C_EHS_WM_ALL
210,C_EHS_PS_ALL,A,C_SHE_ALL
210,C_PPPI_ALL,A,C_ALL
210,C_PPPI_ALL,A,C_CCPI_ALL
210,C_PPPI_ALL,A,C_CREC_ALL
210,C_PPPI_ALL,A,C_CRPI_ALL
210,C_PPPI_ALL,A,C_EVAL_ALL
210,C_PPPI_ALL,A,C_MESS_ALL
210,C_PPPI_ALL,A,C_MREC_ALL
210,C_PPPI_ALL,A,C_MREC_MAT
210,C_PPPI_ALL,A,C_TRAN_ALL
210,C_PS_ALL,A,C_PDC_ALL
210,C_PS_ALL,A,C_PS_001
210,C_PS_ALL,A,F_FICB_ALL
210,C_PS_ALL,A,K_REP_ALL
210,F_BANK_ALL,A,F_BANK
210,F_BANK_ALL,A,S_A.USER
210,F_BUCHHALTER,A,F_ANLAGEN
210,F_BUCHHALTER,A,F_BANK_ALL
210,F_BUCHHALTER,A,F_DEBI_ALL
210,F_BUCHHALTER,A,F_KREDI_ALL
210,F_BUCHHALTER,A,F_SAKO_ALL
210,F_BUCH_ALL,A,F_BUCHHALTER
210,F_BUCH_ALL,A,F_SYS_TEST
210,F_DEBI_ALL,A,F_DEBITOREN
210,F_DEBI_ALL,A,S_A.USER
210,F_ISIS_ALL,A,F_DARL_ALL
210,F_ISIS_ALL,A,F_DTFEED_ALL
210,F_ISIS_ALL,A,F_IMMO_LIS
210,F_ISIS_ALL,A,F_ISRE_ALL
210,F_ISIS_ALL,A,F_PART_ALL
210,F_ISIS_ALL,A,F_TEXT_ALL
210,F_ISIS_ALL,A,F_WERTP_ALL
210,F_ISIS_ALL,A,F_ZFREI_ALL
210,F_ISIS_ALL,A,F_ZPART_ALL
210,F_ISIS_ALL,A,G_SETS_ALL
210,F_ISIS_ALL,A,S_A.USER
210,F_ISRE_ALL,A,F_IMMO_ALL
210,F_ISRE_ALL,A,F_IMMO_LIS
210,F_ISRE_ALL,A,F_PART_ALL
210,F_ISRE_ALL,A,F_TEXT_ALL
210,F_ISRE_ALL,A,F_ZPART_ALL
210,F_ISRE_ALL,A,G_SETS_ALL
210,F_ISRE_ALL,A,S_A.USER
210,F_KBE_ALL,A,F_KBE__RES_A
210,F_KBE_ALL,A,F_KBE__TRA_A
210,F_KREDI_ALL,A,F_KREDITOREN
210,F_KREDI_ALL,A,M_ESTA_ANZ
210,F_KREDI_ALL,A,S_A.USER
210,F_SAKO_ALL,A,F_SACHKONTEN
