MANDT,PROFN,AKTPS,OBJCT,AUTH
210,&_SAP_ALL_00,A,/ARBA/CLAS,&_SAP_ALL
210,&_SAP_ALL_00,A,/ARBA/PROG,&_SAP_ALL
210,&_SAP_ALL_00,A,/ARBA/RFC,&_SAP_ALL
210,&_SAP_ALL_00,A,/BEV2/CS,&_SAP_ALL
210,&_SAP_ALL_00,A,/BOFU/BO,&_SAP_ALL
210,&_SAP_ALL_00,A,/CEERE/KD,&_SAP_ALL
210,&_SAP_ALL_00,A,/CUM/CPEDT,&_SAP_ALL
210,&_SAP_ALL_00,A,/CUM/EFEDT,&_SAP_ALL
210,&_SAP_ALL_00,A,/CWM/C_ACT,&_SAP_ALL
210,&_SAP_ALL_00,A,/CWM/L_INV,&_SAP_ALL
210,&_SAP_ALL_00,A,/DSD/SL_TP,&_SAP_ALL
210,&_SAP_ALL_00,A,/DSD/SL_WR,&_SAP_ALL
210,&_SAP_ALL_00,A,/DSD/SV_LC,&_SAP_ALL
210,&_SAP_ALL_00,A,/DSD/TOUR,&_SAP_ALL
210,&_SAP_ALL_00,A,/DSD/VC_VL,&_SAP_ALL
210,&_SAP_ALL_00,A,/DSD/VC_VP,&_SAP_ALL
210,&_SAP_ALL_00,A,/FSCAA/CSL,&_SAP_ALL
210,&_SAP_ALL_00,A,/GC1/AUTH,&_SAP_ALL
210,&_SAP_ALL_00,A,/GRCPI/001,&_SAP_ALL
210,&_SAP_ALL_00,A,/IPRO/CONF,&_SAP_ALL
210,&_SAP_ALL_00,A,/IPRO/DCSL,&_SAP_ALL
210,&_SAP_ALL_00,A,/IWBEP/DST,&_SAP_ALL
210,&_SAP_ALL_00,A,/IWBEP/MED,&_SAP_ALL
210,&_SAP_ALL_00,A,/IWBEP/MGW,&_SAP_ALL
210,&_SAP_ALL_00,A,/IWBEP/SB,&_SAP_ALL
210,&_SAP_ALL_00,A,/IWBEP/SUB,&_SAP_ALL
210,&_SAP_ALL_00,A,/IWBEP/UMB,&_SAP_ALL
210,&_SAP_ALL_00,A,/IWBEP/URB,&_SAP_ALL
210,&_SAP_ALL_00,A,/IWFND/DST,&_SAP_ALL
210,&_SAP_ALL_00,A,/IWFND/SRV,&_SAP_ALL
210,&_SAP_ALL_00,A,/IWFND/SUB,&_SAP_ALL
210,&_SAP_ALL_00,A,/IWHDB/HAI,&_SAP_ALL
210,&_SAP_ALL_00,A,/J7L/LDE,&_SAP_ALL
210,&_SAP_ALL_00,A,/NFM/BOESL,&_SAP_ALL
210,&_SAP_ALL_00,A,/NFM/CO,&_SAP_ALL
210,&_SAP_ALL_00,A,/NFM/COND,&_SAP_ALL
210,&_SAP_ALL_00,A,/NFM/COVER,&_SAP_ALL
210,&_SAP_ALL_00,A,/NFM/KBB,&_SAP_ALL
210,&_SAP_ALL_00,A,/NFM/NES,&_SAP_ALL
210,&_SAP_ALL_00,A,/NFM/NFDEF,&_SAP_ALL
210,&_SAP_ALL_00,A,/NFM/NFM,&_SAP_ALL
210,&_SAP_ALL_00,A,/NFM/NFNEB,&_SAP_ALL
210,&_SAP_ALL_00,A,/NFM/NFR,&_SAP_ALL
210,&_SAP_ALL_00,A,/NFM/NFS,&_SAP_ALL
210,&_SAP_ALL_00,A,/NFM/NKTYP,&_SAP_ALL
210,&_SAP_ALL_00,A,/NFM/NRRNG,&_SAP_ALL
210,&_SAP_ALL_00,A,/NFM/PROV,&_SAP_ALL
210,&_SAP_ALL_00,A,/NFM/RATE,&_SAP_ALL
210,&_SAP_ALL_00,A,/NFM/REPOR,&_SAP_ALL
210,&_SAP_ALL_00,A,/PSPRO/_US,&_SAP_ALL
210,&_SAP_ALL_00,A,/QTQVC/AUT,&_SAP_ALL
210,&_SAP_ALL_00,A,/QTQVC/CAL,&_SAP_ALL
210,&_SAP_ALL_00,A,/QTQVC/DIS,&_SAP_ALL
210,&_SAP_ALL_00,A,/SAPCND/CC,&_SAP_ALL
210,&_SAP_ALL_00,A,/SAPCND/CM,&_SAP_ALL
210,&_SAP_ALL_00,A,/SAPCND/CO,&_SAP_ALL
210,&_SAP_ALL_00,A,/SAPCND/RC,&_SAP_ALL
210,&_SAP_ALL_00,A,/SAPCND/SS,&_SAP_ALL
210,&_SAP_ALL_00,A,/SAPF15/BL,&_SAP_ALL
210,&_SAP_ALL_00,A,/SAPF15/BU,&_SAP_ALL
210,&_SAP_ALL_00,A,/SAPF15/BW,&_SAP_ALL
210,&_SAP_ALL_00,A,/SAPF15/CT,&_SAP_ALL
210,&_SAP_ALL_00,A,/SAPF15/FK,&_SAP_ALL
210,&_SAP_ALL_00,A,/SAPF15/FP,&_SAP_ALL
210,&_SAP_ALL_00,A,/SAPF15/FS,&_SAP_ALL
210,&_SAP_ALL_00,A,/SAPF15/HO,&_SAP_ALL
210,&_SAP_ALL_00,A,/SAPF15/KR,&_SAP_ALL
210,&_SAP_ALL_00,A,/SAPF15/KZ,&_SAP_ALL
210,&_SAP_ALL_00,A,/SAPF15/PS,&_SAP_ALL
210,&_SAP_ALL_00,A,/SAPF15/RS,&_SAP_ALL
210,&_SAP_ALL_00,A,/SAPF15/VS,&_SAP_ALL
210,&_SAP_ALL_00,A,/SAPMP/RTS,&_SAP_ALL
210,&_SAP_ALL_00,A,/SAPPO/ADM,&_SAP_ALL
210,&_SAP_ALL_00,A,/SAPPO/FLT,&_SAP_ALL
210,&_SAP_ALL_00,A,/SAPPO/ORD,&_SAP_ALL
210,&_SAP_ALL_00,A,/SAPPO/WLA,&_SAP_ALL
210,&_SAP_ALL_00,A,/SDF/E2E,&_SAP_ALL
210,&_SAP_ALL_00,A,/SDF/GPDP,&_SAP_ALL
210,&_SAP_ALL_00,A,/SDF/GPREP,&_SAP_ALL
210,&_SAP_ALL_00,A,/SDF/IVAUT,&_SAP_ALL
210,&_SAP_ALL_00,A,/SDF/TRACE,&_SAP_ALL
210,&_SAP_ALL_00,A,/SDF/WSMON,&_SAP_ALL
210,&_SAP_ALL_00,A,/SPE/AAC,&_SAP_ALL
210,&_SAP_ALL_00,A,/SPE/QEDIT,&_SAP_ALL
210,&_SAP_ALL_00,A,/SPE/REF_C,&_SAP_ALL
210,&_SAP_ALL_00,A,/UI2/CHIP,&_SAP_ALL
210,&_SAP_ALL_00,A,/UI2/SRVC,&_SAP_ALL
210,&_SAP_ALL_00,A,/UI5/THEME,&_SAP_ALL
210,&_SAP_ALL_00,A,/UIF/FLEX,&_SAP_ALL
210,&_SAP_ALL_00,A,/ZPM/BOM,&_SAP_ALL
210,&_SAP_ALL_00,A,/ZPM/CAPAP,&_SAP_ALL
210,&_SAP_ALL_00,A,/ZPM/KPI1,&_SAP_ALL
210,&_SAP_ALL_00,A,/ZPM/KPI2,&_SAP_ALL
210,&_SAP_ALL_00,A,ACCESS_MU,&_SAP_ALL
210,&_SAP_ALL_00,A,ACO_SUPER,&_SAP_ALL
210,&_SAP_ALL_00,A,ADPIC_RIC,&_SAP_ALL
210,&_SAP_ALL_00,A,AEDELETE,&_SAP_ALL
210,&_SAP_ALL_00,A,AE_DELETE,&_SAP_ALL
210,&_SAP_ALL_00,A,AUDIT_AUTH,&_SAP_ALL
210,&_SAP_ALL_00,A,A_A_VIEW,&_SAP_ALL
210,&_SAP_ALL_00,A,A_B_ANLKL,&_SAP_ALL
210,&_SAP_ALL_00,A,A_B_BWART,&_SAP_ALL
210,&_SAP_ALL_00,A,A_C_AFAPL,&_SAP_ALL
210,&_SAP_ALL_00,A,A_IMA_ART,&_SAP_ALL
210,&_SAP_ALL_00,A,A_IMA_BUK,&_SAP_ALL
210,&_SAP_ALL_00,A,A_IMA_GSB,&_SAP_ALL
210,&_SAP_ALL_00,A,A_IMA_KOK,&_SAP_ALL
210,&_SAP_ALL_00,A,A_IMA_MSTA,&_SAP_ALL
210,&_SAP_ALL_00,A,A_IMA_REQU,&_SAP_ALL
210,&_SAP_ALL_00,A,A_IMA_RESP,&_SAP_ALL
210,&_SAP_ALL_00,A,A_IMA_VSTA,&_SAP_ALL
210,&_SAP_ALL_00,A,A_IMPR_APS,&_SAP_ALL
210,&_SAP_ALL_00,A,A_IMPR_BUK,&_SAP_ALL
210,&_SAP_ALL_00,A,A_IMPR_GSB,&_SAP_ALL
210,&_SAP_ALL_00,A,A_IMPR_KOK,&_SAP_ALL
210,&_SAP_ALL_00,A,A_IMPR_PRC,&_SAP_ALL
210,&_SAP_ALL_00,A,A_IMPR_VER,&_SAP_ALL
210,&_SAP_ALL_00,A,A_IMTP_ART,&_SAP_ALL
210,&_SAP_ALL_00,A,A_IMTP_SYS,&_SAP_ALL
210,&_SAP_ALL_00,A,A_IM_EIS,&_SAP_ALL
210,&_SAP_ALL_00,A,A_MPDMAP,&_SAP_ALL
210,&_SAP_ALL_00,A,A_M_ANLKL,&_SAP_ALL
210,&_SAP_ALL_00,A,A_PERI_BUK,&_SAP_ALL
210,&_SAP_ALL_00,A,A_S_ANLGR,&_SAP_ALL
210,&_SAP_ALL_00,A,A_S_ANLKL,&_SAP_ALL
210,&_SAP_ALL_00,A,A_S_GSBER,&_SAP_ALL
210,&_SAP_ALL_00,A,A_S_KOSTL,&_SAP_ALL
210,&_SAP_ALL_00,A,A_S_WERK,&_SAP_ALL
210,&_SAP_ALL_00,A,BCV_ACL,&_SAP_ALL
210,&_SAP_ALL_00,A,BCV_ACLUGP,&_SAP_ALL
210,&_SAP_ALL_00,A,BCV_DASHB,&_SAP_ALL
210,&_SAP_ALL_00,A,BCV_DSHSNA,&_SAP_ALL
210,&_SAP_ALL_00,A,BCV_PERS,&_SAP_ALL
210,&_SAP_ALL_00,A,BCV_PUBPRV,&_SAP_ALL
210,&_SAP_ALL_00,A,BCV_QRYVW,&_SAP_ALL
210,&_SAP_ALL_00,A,BCV_QUERY,&_SAP_ALL
210,&_SAP_ALL_00,A,BCV_QUILST,&_SAP_ALL
210,&_SAP_ALL_00,A,BCV_QVWLST,&_SAP_ALL
